X,Y,objectid,arc_,streetcl_,streetcl_i,node_id,int_id,update_,intersecti,x_coord,y_coord
-8365555.67706816,4857540.14808897,10676,,,,22399,22399,1998/06/16 00:00:00+00,S 4TH ST & GASKILL ST,,
-8365368.62438394,4857582.23189262,10677,,,,22344,22344,1998/06/16 00:00:00+00,S 3RD ST & LOMBARD ST,,
-8365380.06510344,4857511.05721821,10678,,,,22425,22425,1998/06/16 00:00:00+00,S 3RD ST & GASKILL ST,,
-8365358.55223034,4857642.745057,10679,,,,22276,22276,1998/06/16 00:00:00+00,S 3RD ST & STAMPERS ST,,
-8365732.41285178,4857568.15031036,10680,,,,22366,22366,1998/06/16 00:00:00+00,S 5TH ST & GASKILL ST,,
-8365522.4087653,4857739.97036575,10681,,,,22201,22201,1998/06/16 00:00:00+00,S 4TH ST & PINE ST,,
-8365609.49186924,4857756.4819041,10682,,,,22188,22188,1998/06/16 00:00:00+00,LAWRENCE CT & PINE ST,,
-8365500.01987634,4857876.03676381,10683,,,,22072,22072,1998/06/16 00:00:00+00,S 4TH ST & CYPRESS ST,,
-8365506.3444483,4857823.04323709,10684,,,,22131,22131,1998/06/16 00:00:00+00,S 4TH ST & DELANCEY ST,,
-8365323.60256177,4857847.5272832,10685,,,,22098,22098,1998/06/16 00:00:00+00,S 3RD ST & CYPRESS ST,,
-8365333.39052901,4857794.68071301,10686,,,,22153,22153,1998/06/16 00:00:00+00,S 3RD ST & DELANCEY ST,,
-8365582.51159309,4857890.30437084,10687,,,,22062,22062,1998/06/16 00:00:00+00,CYPRESS ST & LAWRENCE CT,,
-8365347.03273139,4857712.71917102,10688,,,,22218,22218,1998/06/16 00:00:00+00,S 3RD ST & PINE ST,,
-8366445.74522976,4857605.41181543,10689,,,,22350,22350,1998/06/16 00:00:00+00,S 9TH ST & SOUTH ST,,
-8367228.47850451,4857925.48625921,10690,,,,22073,22073,1998/06/16 00:00:00+00,ADDISON ST & S JUNIPER ST,,
-8365943.39667759,4857395.08365549,10691,,,,22573,22573,1998/06/17 00:00:00+00,S 6TH ST & BAINBRIDGE ST,,
-8365968.53069122,4857234.18542607,10692,,,,22729,22729,1998/06/17 00:00:00+00,S 6TH ST & FITZWATER ST,,
-8365937.09232087,4857226.62615128,10693,,,,22733,22733,1998/06/17 00:00:00+00,ABBOTTS CT & FITZWATER ST,,
-8365898.50542468,4857219.17415575,10694,,,,22743,22743,1998/06/17 00:00:00+00,FITZWATER ST & S RANDOLPH ST,,
-8365883.5647845,4857215.20459371,10695,,,,22746,22743,1998/06/17 00:00:00+00,FITZWATER ST & S RANDOLPH ST,,
-8365913.23182158,4857171.64680102,10696,,,,22789,22789,1998/06/17 00:00:00+00,CLYMER ST & S RANDOLPH ST,,
-8365959.55346661,4857102.38645601,10697,,,,22853,22853,1998/06/17 00:00:00+00,FULTON ST & S RANDOLPH ST,,
-8365989.22168156,4857111.37479507,10698,,,,22848,22848,1998/06/17 00:00:00+00,S 6TH ST & FULTON ST,,
-8365977.27033299,4857186.15000847,10699,,,,22777,22777,1998/06/17 00:00:00+00,S 6TH ST & CLYMER ST,,
-8365786.45034837,4857261.01212327,10700,,,,22706,22706,1998/06/17 00:00:00+00,S 5TH ST & E PASSYUNK AVE,,
-8365657.36823346,4857227.10068672,10701,,,,22728,22728,1998/06/16 00:00:00+00,S LEITHGOW ST & MONROE ST,,
-8365833.64712658,4857203.19711304,10702,,,,22755,22755,1998/06/17 00:00:00+00,FITZWATER ST & E PASSYUNK AVE,,
-8365803.38646085,4857150.12836651,10703,,,,22813,22813,1998/06/17 00:00:00+00,S 5TH ST & FITZWATER ST,,
-8365857.42154804,4857162.84014954,10704,,,,22797,22797,1998/06/17 00:00:00+00,FITZWATER ST & E PASSYUNK AVE,,
