the_geom,the_geom_webmercator,street,city,state,latitude,longitude,district_number,block,side,lat,lng
0101000020E6100000286F0F8E2ECB52C018F09FCC11F94340,0101000020110F0000E82B3BCA46EC5FC161CEBE5237885241,LOMBARD ST,Philadelphia, PA,39.9458556920001,-75.174716487,1,2100,S/S,39.945855692000066,-75.17471648699996
0101000020E610000044A8E25E6ACB52C0B8A3107F0FF84340,0101000020110F00008DFF9A64ACEC5FC1B830BF3019875241,ANNIN,Philadelphia, PA,39.937972911,-75.178367349,23,900,S/S,39.93797291100003,-75.17836734899998
0101000020E6100000286F0F8E2ECB52C018F09FCC11F94340,0101000020110F0000E82B3BCA46EC5FC161CEBE5237885241,LOMBARD ST,Philadelphia, PA,39.9458556920001,-75.174716487,1,1600,S/S,39.945855692000066,-75.17471648699996
0101000020E610000044B260453AC952C070E7604274F84340,0101000020110F0000B65BE401F5E85FC13F7045CE88875241,S 19TH ST,Philadelphia, PA,39.9410479520001,-75.14418158,1,400,E/S,39.941047952000076,-75.14418157999995
0101000020E6100000C0296B8265CA52C068E0C369E4F94340,0101000020110F00004E3B434BF1EA5FC1111639A720895241,PASSYUNK LOT,Philadelphia, PA,39.952283116,-75.1624456449999,22,1000,,39.95228311600005,-75.16244564499993
0101000020E6100000B0DB164E3AC952C0688C857772F84340,0101000020110F00003483B010F5E85FC14DB9FBD186875241,S 06TH ST,Philadelphia, PA,39.9409932520001,-75.144183657,22,900,B/S,39.940993252000055,-75.14418365699999
0101000020E61000009467AC9DCBCA52C0A0833106FCF54340,0101000020110F0000E3D66ABB9EEB5FC19A6F7F8FCC845241,CLARION ST,Philadelphia, PA,39.9217536680001,-75.168677729,24,2400,W/S,39.921753668000065,-75.16867772899997
0101000020E6100000C0296B8265CA52C068E0C369E4F94340,0101000020110F00004E3B434BF1EA5FC1111639A720895241,CARPENTERST,Philadelphia, PA,39.952283116,-75.1624456449999,22,1100,B/S,39.95228311600005,-75.16244564499993
0101000020E610000018990D5317CD52C01099941D83F94340,0101000020110F0000F8629F0385EF5FC19E09D2DBB4885241,WOODLAND TERR,Philadelphia, PA,39.9493138290001,-75.20454861,2,500,B/S,39.94931382900006,-75.20454860999996
0101000020E6100000E4A46E9C91CA52C0B834048801004440,0101000020110F00000EA07C343CEB5FC19E9E8244E78F5241,W INDIANA AVE,Philadelphia, PA,40.000046732,-75.1651373939999,16,1400,B/S,40.000046732000044,-75.16513739399994
0101000020E6100000A00B709575CC52C0C8CC04E447FB4340,0101000020110F000037A8044872EE5FC198176F85AA8A5241,BRANDYWINE ST,Philadelphia, PA,39.96313143,-75.194676742,10,1000,N/S,39.96313143000003,-75.19467674199996
0101000020E6100000F46613E1B8CA52C0600E1FD1B7F54340,0101000020110F000032DDE9E77EEB5FC1282A240781845241,CAMAC ST,Philadelphia, PA,39.919672146,-75.167534131,24,2500,W/S,39.91967214600004,-75.16753413099997
0101000020E610000084F7961EBFCA52C050C48ED8C4F54340,0101000020110F0000D0A1738189EB5FC1725FC0748F845241,S ISEMINGER ST,Philadelphia, PA,39.920069761,-75.167915008,24,2600,E/S,39.920069761000036,-75.16791500799997
0101000020E6100000DCA1442577CF52C030574F185AFB4340,0101000020110F0000928CA4758DF35FC1AED773B1BE8A5241,N MILLICK ST,Philadelphia, PA,39.96368698,-75.241647069,3,99,W/S,39.963686980000034,-75.24164706899995
0101000020E6100000FC9E399A0CCF52C0385CAE6297F94340,0101000020110F000009D13C7CD8F25FC11EE9A550CB885241,CATHARINE ST,Philadelphia, PA,39.9499324180001,-75.235144192,1,2100,B/S,39.94993241800006,-75.23514419199995
0101000020E6100000CCC7434C3AC952C060C6794474F84340,0101000020110F00004F22970DF5E85FC1162598D088875241,N 21ST ST,Philadelphia, PA,39.941048202,-75.144183222,6,600,B/S,39.94104820200005,-75.14418322199998
0101000020E610000070B525DD1CCC52C0D824605D5DF74340,0101000020110F0000A250E894DBED5FC1CB55CCE253865241,TANEY ST,Philadelphia, PA,39.9325367660001,-75.18926171,1,500,B/S,39.932536766000055,-75.18926170999998
0101000020E610000054C68B27F0CA52C0D0EB2D8A03F64340,0101000020110F0000EE3EE9CBDCEB5FC144E826E2D4845241,S ROSEWOOD ST,Philadelphia, PA,39.921983025,-75.1709078659999,27,2300,E/S,39.92198302500003,-75.17090786599994
0101000020E61000009496D39621CB52C0E87BF490ADF84340,0101000020110F00006BB62DC430EC5FC1FF277949C8875241,FITZWATER ST,Philadelphia, PA,39.9427968210001,-75.17392512,1,1900,B/S,39.94279682100006,-75.17392511999998
0101000020E6100000B83E4B0E3AC952C0C858913174F84340,0101000020110F0000C79F53A4F4E85FC19345A6BB88875241,N 03RD ST,Philadelphia, PA,39.9410459480001,-75.144168447,10,700,B/S,39.94104594800007,-75.14416844699997
0101000020E6100000F09267AD54C952C0F0ED5DF01AFA4340,0101000020110F000027587ADC21E95FC18A7845105D895241,N ORIANNA ST,Philadelphia, PA,39.953947111,-75.145793296,10,1100,E/S,39.95394711100005,-75.14579329599997
0101000020E6100000C0EE2C5B3AC952C0689A817B72F84340,0101000020110F00007BF3EA26F5E85FC141AA65D686875241,S 10TH ST,Philadelphia, PA,39.940993727,-75.144186777,24,2000,B/S,39.940993727000034,-75.14418677699996
0101000020E6100000F8EB5933D9CA52C07815C641C2F54340,0101000020110F0000E1609ACEB5EB5FC1E30DCB968C845241,S JUNIPER ST,Philadelphia, PA,39.9199907510001,-75.1695068719999,22,799,E/S,39.91999075100006,-75.16950687199994
0101000020E61000006C6376C0BCCE52C0B0F135781DFA4340,0101000020110F00006BC2D8D950F25FC1BD8C0ADE5F895241,PINE ST,Philadelphia, PA,39.95402434,-75.2302704959999,1,1400,N/S,39.954024340000046,-75.23027049599995
0101000020E6100000A491C603F2CD52C0180E8E4351FB4340,0101000020110F00009AB84E7BF8F05FC1D43454E8B48A5241,WALLACE ST,Philadelphia, PA,39.9634174770001,-75.2178964079999,10,1100,B/S,39.963417477000064,-75.21789640799994
0101000020E6100000A807625FA6CA52C0181B9D3A29F54340,0101000020110F0000712877785FEB5FC1984B3C22E3835241,MOLLBORE TERR,Philadelphia, PA,39.915320708,-75.166404577,29,700,B/S,39.915320708000024,-75.16640457699998
0101000020E610000054F7EBF59EC952C0806D5362F5004440,0101000020110F0000B826F209A0E95FC1EE734EA3F5905241,VENANGO ST,Philadelphia, PA,40.0074885280001,-75.150327187,16,1500,B/S,40.00748852800007,-75.15032718699996
0101000020E6100000D824798DA1CD52C0A004ECC622FA4340,0101000020110F0000A09D04CF6FF05FC127E168BF65895241,S MELVILLE,Philadelphia, PA,39.9541863110001,-75.21298539,2,200,E/S,39.95418631100006,-75.21298538999997
0101000020E6100000E4C5A70551CC52C088676F8128024440,0101000020110F0000156F7C2D34EE5FC1B3B6F1324A925241,WARDEN DR,Philadelphia, PA,40.0168611330001,-75.1924451959999,8,3400,B/S,40.01686113300008,-75.19244519599994
0101000020E6100000845D97BED0CE52C0C05284ABEEF94340,0101000020110F00000BE880CF72F25FC1B2D652042C895241,LARCHWOOD ST,Philadelphia, PA,39.9525961300001,-75.2314907529999,2,5800,B/S,39.952596130000074,-75.23149075299995
0101000020E6100000042836B4FBCD52C078D991529F034440,0101000020110F0000A2D493F008F15FC1FF60BCE3E9935241,DEXTER,Philadelphia, PA,40.0282996380001,-75.21848779,15,4300,E/S,40.02829963800008,-75.21848778999998
0101000020E610000008E58C473AC952C08872867572F84340,0101000020110F0000F71D9505F5E85FC15590C5CF86875241,N 04TH ST,Philadelphia, PA,39.9409930140001,-75.144182098,10,1100,B/S,39.94099301400007,-75.14418209799999
0101000020E610000008E58C473AC952C08872867572F84340,0101000020110F0000F71D9505F5E85FC15590C5CF86875241,S 04TH ST,Philadelphia, PA,39.9409930140001,-75.144182098,5,400,B/S,39.94099301400007,-75.14418209799999
0101000020E6100000D4DEDF54CFCB52C0103290D473F64340,0101000020110F0000BF6A9EE257ED5FC1B83C3A3D51855241,WINTON ST,Philadelphia, PA,39.925409861,-75.184529513,24,1000,N/S,39.92540986100005,-75.18452951299997
0101000020E6100000F88E58C081CD52C0506434FFE3044440,0101000020110F0000917D7ECA39F05FC1EFDBA20652955241,HENRY AVE,Philadelphia, PA,40.0382079130001,-75.2110443939999,8,3500,W/S,40.038207913000065,-75.21104439399994
0101000020E610000040388CA096CF52C0885184FF6DF94340,0101000020110F000017E623EFC2F35FC1AAA8AE769D885241,CARPENTER ST,Philadelphia, PA,39.9486693760001,-75.243568551,1,1800,B/S,39.948669376000055,-75.24356855099995
0101000020E6100000F45627DE36CB52C0909A24A0C6014440,0101000020110F0000680B03E954EC5FC176A019A8DD915241,STOKELY ST,Philadelphia, PA,40.013874071,-75.175223864,8,3800,B/S,40.01387407100003,-75.17522386399997
0101000020E61000009056D5FB08CC52C070E1EB6BDDFA4340,0101000020110F00007D1332D0B9ED5FC111F5158C348A5241,WINTER ST,Philadelphia, PA,39.9598822500001,-75.188048323,10,900,S/S,39.95988225000008,-75.18804832299998
0101000020E6100000389AB5D72CCA52C0108E319B33014440,0101000020110F0000B33F280A91EA5FC13F1C8DA13A915241,W PACIFIC ST,Philadelphia, PA,40.0093873970001,-75.1589869759999,16,1400,N/S,40.00938739700007,-75.15898697599994
0101000020E6100000549B839061CF52C0D0B0B7B879F94340,0101000020110F0000DFC94ACD68F35FC1A48D9273AA885241,CHRISTIAN ST,Philadelphia, PA,39.949027147,-75.240329865,1,2500,B/S,39.94902714700004,-75.24032986499998
0101000020E610000040831CADCDC752C068213C7215FD4340,0101000020110F0000EEF1D9B489E65FC1D5B43D04AA8C5241,ALMOND,Philadelphia, PA,39.9772169870001,-75.12192848,25,2200,B/S,39.97721698700008,-75.12192847999995
0101000020E6100000189A9B373AC952C0C0032D3E74F84340,0101000020110F000073A180EAF4E85FC18EA59DC988875241,N 15TH ST,Philadelphia, PA,39.941047451,-75.1441782969999,6,599,W/S,39.94104745100003,-75.14417829699994
0101000020E61000006C6376C0BCCE52C0B0F135781DFA4340,0101000020110F00006BC2D8D950F25FC1BD8C0ADE5F895241,PINE ST,Philadelphia, PA,39.95402434,-75.2302704959999,5,400,N/S,39.954024340000046,-75.23027049599995
0101000020E610000040388CA096CF52C0885184FF6DF94340,0101000020110F000017E623EFC2F35FC1AAA8AE769D885241,CARPENTER ST,Philadelphia, PA,39.9486693760001,-75.243568551,1,1900,S/S,39.948669376000055,-75.24356855099995
0101000020E6100000648D5D7C73C852C0401FDB8860FC4340,0101000020110F000093A5C859A3E75FC1A5D79684E18B5241,E OXFORD ST,Philadelphia, PA,39.971696002,-75.1320486939999,25,1400,S/S,39.971696002000044,-75.13204869399993
0101000020E610000064BC6DD913CB52C060E01A8E1DF94340,0101000020110F0000AB3B866D19EC5FC161C5AB5844885241,WAVERLY ST,Philadelphia, PA,39.9462144500001,-75.1730865069999,1,2300,N/S,39.94621445000007,-75.17308650699994
